CLOUD ID1	CLOUD ID2	y1	y2	yc	yBliss	yLoewe
CLOUD114	CLOUD115	84.27757776	99.78243983	100	0.999657943	3.4
CLOUD117	CLOUD234	99.94879672	26.35059193	97.42686311	0.999622891	2.9
CLOUD103	CLOUD222	85.39038766	0	100	0.853903877	74.7
CLOUD188	CLOUD165	1.596485175	100	100	1	58.6
CLOUD083	CLOUD179	26.61512503	98.65510327	100	0.990130492	98.9
CLOUD083	CLOUD173	26.61512503	26.96680805	100	0.464046834	97.3
CLOUD083	CLOUD171	26.61512503	0.32239215	1.803658006	0.268517121	97.7
CLOUD164	CLOUD234	36.73976992	26.35059193	70.37194374	0.53409215	97.7
CLOUD164	CLOUD232	36.73976992	50.0790699	70.95948642	0.684199048	95
CLOUD104	CLOUD213	98.44403556	45.94459407	100	0.991589171	1.8
CLOUD232	CLOUD190	50.0790699	17.11103228	100	0.586210564	95
CLOUD256	CLOUD129	0	100	100	1	95.8
CLOUD213	CLOUD190	45.94459407	17.11103228	87.90434061	0.55194032	99.3
CLOUD213	CLOUD196	45.94459407	71.74865513	71.83517417	0.847286209	59.6
CLOUD115	CLOUD207	99.78243983	0	100	0.997824398	95.2
CLOUD115	CLOUD209	99.78243983	99.87921859	100	0.999997372	2.4
CLOUD171	CLOUD213	0.32239215	45.94459407	69.77121967	0.461188645	97.7
CLOUD173	CLOUD196	26.96680805	71.74865513	73.61268403	0.793671411	59.6
CLOUD049	CLOUD256	0.017271008	0	24.14270257	0.00017271	99.8
CLOUD049	CLOUD250	0.017271008	2.964857381	11.85618313	0.029816163	98.9
CLOUD128	CLOUD264	10.62896364	36.36300704	42.0170066	0.431269599	92.5
CLOUD188	CLOUD215	1.596485175	17.3356167	72.25764166	0.186553413	98.3
CLOUD188	CLOUD213	1.596485175	45.94459407	64.00914171	0.468075806	98.9
CLOUD049	CLOUD128	0.017271008	10.62896364	9.785337947	0.106443989	90.9
CLOUD122	CLOUD103	58.96658998	85.39038766	100	0.940051779	90
CLOUD122	CLOUD102	58.96658998	11.69030422	76.02305923	0.637635204	68.2
CLOUD234	CLOUD264	26.35059193	36.36300704	52.12535799	0.531317314	98.5
CLOUD180	CLOUD122	94.77996018	58.96658998	100	0.978580397	97
CLOUD207	CLOUD129	0	100	82.78353902	1	96.1
CLOUD207	CLOUD128	0	10.62896364	0	0.106289636	93.3
CLOUD129	CLOUD209	100	99.87921859	100	1	2.4
CLOUD129	CLOUD203	100	24.35133625	100	1	95.7
CLOUD024	CLOUD122	98.72289447	58.96658998	100	0.994759601	1
CLOUD024	CLOUD129	98.72289447	100	100	1	1
CLOUD057	CLOUD229	100	0.294050343	100	1	4.9
CLOUD057	CLOUD222	100	0	100	1	4.9
CLOUD180	CLOUD243	94.77996018	84.97484141	100	0.992156807	98.3
CLOUD088	CLOUD250	0	2.964857381	0	0.029648574	98
CLOUD083	CLOUD071	26.61512503	11.44575694	0	0.350145795	99
