name	drugA	drugB	concA	concB	hsa
156	172	68	0.551	5	0.3598
156	172	68	8.616	0	0
156	172	68	8.616	0.1602	0.5807
156	172	68	8.616	1.521	0.383
156	172	68	8.616	5	0.4907
156	172	87	0	0	0
156	172	87	0	0.009	0
156	172	87	0	0.0332	0
156	172	87	0	0.0567	0
156	172	87	0.1007	0	0
156	172	87	0.1007	0.009	0.0964853988703104
156	172	87	0.1007	0.0332	0.0433199750029965
156	172	87	0.1007	0.0567	0.156419568831843
156	172	87	0.551	0	0
156	172	87	0.551	0.009	0.0436891793354084
156	172	87	0.551	0.0332	0.090208925219308
156	172	87	0.551	0.0567	0.152235253064508
156	172	87	8.616	0	0
156	172	87	8.616	0.009	0.336468214938047
156	172	87	8.616	0.0332	0.123929587579595
156	172	87	8.616	0.0567	0.185832847313991
156	172	181	0	0	0
156	172	181	0	0.22	0
156	172	181	0	0.67	0
156	172	181	0	2	0
156	172	181	0.1007	0	0
156	172	181	0.1007	0.22	-0.071829826203614
156	172	181	0.1007	0.67	0.168508345785789
156	172	181	0.1007	2	0.0341040771470941
156	172	181	0.551	0	0
156	172	181	0.551	0.22	-0.0514076207143512
156	172	181	0.551	0.67	0.466390860336071
156	172	181	0.551	2	-0.00201203994968097
156	172	181	8.616	0	0
156	172	181	8.616	0.22	0.0947670816299782
156	172	181	8.616	0.67	0.311463784210629
156	172	181	8.616	2	0.0700189902489011
156	172	183	0	0	0
156	172	183	0	0.001	0
156	172	183	0	0.004	0
156	172	183	0	0.01	0
156	172	183	0.1007	0	0
156	172	183	0.1007	0.001	0.158500004844235
156	172	183	0.1007	0.004	0.623800019065196
156	172	183	0.1007	0.01	0.531200016235062
156	172	183	0.551	0	0
156	172	183	0.551	0.001	0.130300003982358
156	172	183	0.551	0.004	0.275200008410936
156	172	183	0.551	0.01	0.5199000158897
156	172	183	8.616	0	0
156	172	183	8.616	0.001	0.176100005382143
156	172	183	8.616	0.004	0.116800003569758
