name	drugA	drugB	concA	concB	zip
47	2009	332	1	3	-0.00688322209769382
47	2009	332	1	10	-0.0729045352119708
47	2009	332	1	30	-0.151241513096631
47	2009	332	1	100	-0.273350137983326
47	2009	332	1	300	-0.377041873972333
47	2009	332	3	0	0
47	2009	332	3	0.3	-0.000835583472211141
47	2009	332	3	1	-0.000810288448267187
47	2009	332	3	3	-0.00843939150902088
47	2009	332	3	10	-0.0733103949766152
47	2009	332	3	30	-0.15146784702669
47	2009	332	3	100	-0.273296611385321
47	2009	332	3	300	-0.376750670326449
47	2009	332	10	0	0
47	2009	332	10	0.3	-0.00283934701917914
47	2009	332	10	1	-0.00275334689087401
47	2009	332	10	3	-0.014625205036271
47	2009	332	10	10	-0.0747560977779907
47	2009	332	10	30	-0.152274049495944
47	2009	332	10	100	-0.273106008421684
47	2009	332	10	300	-0.375713630120754
47	2009	332	30	0	0
47	2009	332	30	0.3	-0.0085979085335164
47	2009	332	30	1	-0.00833754714399703
47	2009	332	30	3	-0.031806582400225
47	2009	332	30	10	-0.0789107899317838
47	2009	332	30	30	-0.15459094014096
47	2009	332	30	100	-0.272558204907201
47	2009	332	30	300	-0.372733191178012
47	2009	332	100	0	0
47	2009	332	100	0.3	-0.0281655561921197
47	2009	332	100	1	-0.0273416760709853
47	2009	332	100	3	-0.0541242721372325
47	2009	332	100	10	-0.0930140507629884
47	2009	332	100	30	-0.162455720795758
47	2009	332	100	100	-0.270698686911165
47	2009	332	100	300	-0.362616035744423
47	2009	332	300	0	0
47	2009	332	300	0.3	-0.0813957819910136
47	2009	332	300	1	-0.0865042157372666
47	2009	332	300	3	-0.0982227061419556
47	2009	332	300	10	-0.128353278666954
47	2009	332	300	30	-0.182162880892081
47	2009	332	300	100	-0.266039189563653
47	2009	332	300	300	-0.337264953229358
47	2009	332	1000	0	0
47	2009	332	1000	0.3	-0.195153570557902
47	2009	332	1000	1	-0.196815711504222
47	2009	332	1000	3	-0.200626698930456
47	2009	332	1000	10	-0.21042820342997
47	2009	332	1000	30	-0.227932519283558
47	2009	332	1000	100	-0.255217563939297
47	2009	332	1000	300	-0.278387374020801
47	2008	131	0	0	0
47	2008	131	0	0.03	0
47	2008	131	0	0.1	0
47	2008	131	0	0.3	0
47	2008	131	0	1	0
47	2008	131	0	3	0
47	2008	131	0	10	0
47	2008	131	0	30	0
47	2008	131	1	0	0
47	2008	131	1	0.03	-1.87557702702179e-10
47	2008	131	1	0.1	-1.99012220036821e-10
47	2008	131	1	0.3	-2.35741310916637e-10
47	2008	131	1	1	-4.26463486746798e-10
47	2008	131	1	3	-2.31974510711552e-09
47	2008	131	1	10	-8.68361872790047e-07
47	2008	131	1	30	-0.000313064028056829
47	2008	131	3	0	0
47	2008	131	3	0.03	-1.0566850505711e-10
47	2008	131	3	0.1	-1.11893569965105e-10
47	2008	131	3	0.3	-1.31774982037314e-10
47	2008	131	3	1	-2.33576997743512e-10
47	2008	131	3	3	-1.1986898584837e-09
47	2008	131	3	10	-3.66852475224277e-07
47	2008	131	3	30	-0.000853772591105439
47	2008	131	10	0	0
47	2008	131	10	0.03	-2.5787321320081e-07
47	2008	131	10	0.1	-7.0806906450116e-07
47	2008	131	10	0.3	-1.26358741633226e-05
47	2008	131	10	1	-0.00253778711122862
47	2008	131	10	3	-0.00255874116741978
47	2008	131	10	10	-0.00255874116741978
