name	drugA	drugB	concA	concB	hsa
94	164	2015	7.5e-09	0	-0.700103575
94	164	2015	7.5e-09	1e-07	-0.523624902
94	164	2015	7.5e-09	2.5e-07	0
94	164	2015	7.5e-09	5e-07	-0.610443762
94	164	2015	7.5e-09	1e-06	-0.624607714
94	164	2015	7.5e-09	2e-06	-0.800928634
94	164	2015	7.5e-09	4e-06	-0.749543883
94	164	2015	7.5e-09	6e-06	-0.55795352
94	164	2015	7.5e-09	1e-05	0
94	164	2015	7.5e-09	1.4e-05	-0.744939734
94	164	2015	1e-08	0	-0.73518894
94	164	2015	1e-08	1e-07	-0.852855799
94	164	2015	1e-08	2.5e-07	-0.781596541
94	164	2015	1e-08	5e-07	-0.627563143
94	164	2015	1e-08	1e-06	0
94	164	2015	1e-08	2e-06	-0.782811741
94	164	2015	1e-08	4e-06	-0.748089882
94	164	2015	1e-08	6e-06	-0.86683557
94	164	2015	1e-08	1e-05	-0.79057675
94	164	2015	1e-08	1.4e-05	-0.611857728
199	164	2015	0	0	0
199	164	2015	0	1e-07	0
199	164	2015	0	2.5e-07	0
199	164	2015	0	5e-07	0
199	164	2015	0	1e-06	0
199	164	2015	0	2e-06	0
199	164	2015	0	4e-06	0
199	164	2015	0	6e-06	-0.020929045
199	164	2015	0	1e-05	0.0501146519999999
199	164	2015	0	1.4e-05	-0.26044395
199	164	2015	1e-09	0	-0.861947954
199	164	2015	1e-09	1e-07	-0.977734023
199	164	2015	1e-09	2.5e-07	0
199	164	2015	1e-09	5e-07	-0.024515986
199	164	2015	1e-09	1e-06	-0.00977174899999994
199	164	2015	1e-09	2e-06	-0.485079041
199	164	2015	1e-09	4e-06	-0.956464668
199	164	2015	1e-09	6e-06	-0.986210907
199	164	2015	1e-09	1e-05	0
199	164	2015	1e-09	1.4e-05	-0.0105101150000002
199	164	2015	2.5e-09	0	-0.148943575
199	164	2015	2.5e-09	1e-07	-0.765593949
199	164	2015	2.5e-09	2.5e-07	-0.953433316
199	164	2015	2.5e-09	5e-07	-0.964809383
199	164	2015	2.5e-09	1e-06	0
199	164	2015	2.5e-09	2e-06	-0.127340918
199	164	2015	2.5e-09	4e-06	-0.541186435
199	164	2015	2.5e-09	6e-06	-0.918708548
199	164	2015	2.5e-09	1e-05	-0.953993372
199	164	2015	2.5e-09	1.4e-05	-0.960694875
199	164	2015	5e-09	0	0
199	164	2015	5e-09	1e-07	-0.470830433
199	164	2015	5e-09	2.5e-07	-0.795047049
199	164	2015	5e-09	5e-07	-0.761937172
199	164	2015	5e-09	1e-06	-0.666560973
199	164	2015	5e-09	2e-06	-0.665636289
199	164	2015	5e-09	4e-06	0
199	164	2015	5e-09	6e-06	-0.846646477
199	164	2015	5e-09	1e-05	-0.918196034
199	164	2015	5e-09	1.4e-05	-0.772462488
199	164	2015	7.5e-09	0	-0.300359541
199	164	2015	7.5e-09	1e-07	-0.302127362
199	164	2015	7.5e-09	2.5e-07	0
199	164	2015	7.5e-09	5e-07	-0.926269674
199	164	2015	7.5e-09	1e-06	-0.929930734
199	164	2015	7.5e-09	2e-06	-0.77554824
199	164	2015	7.5e-09	4e-06	-0.112577178
199	164	2015	7.5e-09	6e-06	-0.103482996
199	164	2015	7.5e-09	1e-05	0
199	164	2015	7.5e-09	1.4e-05	-0.943820378
199	164	2015	1e-08	0	-0.927076496
199	164	2015	1e-08	1e-07	-0.768781241
199	164	2015	1e-08	2.5e-07	-0.108460981
199	164	2015	1e-08	5e-07	-0.027216672
199	164	2015	1e-08	1e-06	0
199	164	2015	1e-08	2e-06	-0.950633332
199	164	2015	1e-08	4e-06	-0.925988384
199	164	2015	1e-08	6e-06	-0.764496764
199	164	2015	1e-08	1e-05	-0.105011836
199	164	2015	1e-08	1.4e-05	-0.017984315
200	164	2015	0	0	0
200	164	2015	0	1e-07	0
200	164	2015	0	2.5e-07	0
200	164	2015	0	5e-07	0
200	164	2015	0	1e-06	0
200	164	2015	0	2e-06	0
200	164	2015	0	4e-06	0
200	164	2015	0	6e-06	-0.059650245
200	164	2015	0	1e-05	0.0730632610000001
200	164	2015	0	1.4e-05	-0.199405768
200	164	2015	1e-09	0	-0.789981016
200	164	2015	1e-09	1e-07	-0.86433481
200	164	2015	1e-09	2.5e-07	0
200	164	2015	1e-09	5e-07	-0.070627891
200	164	2015	1e-09	1e-06	-0.110314525
200	164	2015	1e-09	2e-06	-0.30026129
200	164	2015	1e-09	4e-06	-0.843886412
200	164	2015	1e-09	6e-06	-0.920160274
200	164	2015	1e-09	1e-05	0
200	164	2015	1e-09	1.4e-05	-0.115022944
200	164	2015	2.5e-09	0	-0.0656965070000001
200	164	2015	2.5e-09	1e-07	-0.412593311
200	164	2015	2.5e-09	2.5e-07	-0.813611824
200	164	2015	2.5e-09	5e-07	-0.831966362
200	164	2015	2.5e-09	1e-06	0
200	164	2015	2.5e-09	2e-06	-0.076019601
200	164	2015	2.5e-09	4e-06	-0.176845178
200	164	2015	2.5e-09	6e-06	-0.659637282
200	164	2015	2.5e-09	1e-05	-0.823795855
200	164	2015	2.5e-09	1.4e-05	-0.835761856
200	164	2015	5e-09	0	0
200	164	2015	5e-09	1e-07	-0.218159564
200	164	2015	5e-09	2.5e-07	-0.48975357
200	164	2015	5e-09	5e-07	-0.719795717
200	164	2015	5e-09	1e-06	-0.723943044
200	164	2015	5e-09	2e-06	-0.72262319
200	164	2015	5e-09	4e-06	0
200	164	2015	5e-09	6e-06	-0.857565365
200	164	2015	5e-09	1e-05	-0.855230432
200	164	2015	5e-09	1.4e-05	-0.75803809
200	164	2015	7.5e-09	0	-0.204421164
200	164	2015	7.5e-09	1e-07	-0.129074205
200	164	2015	7.5e-09	2.5e-07	0
200	164	2015	7.5e-09	5e-07	-0.916081505
200	164	2015	7.5e-09	1e-06	-0.870501365
200	164	2015	7.5e-09	2e-06	-0.761014063
200	164	2015	7.5e-09	4e-06	-0.198988863
200	164	2015	7.5e-09	6e-06	-0.06827814
200	164	2015	7.5e-09	1e-05	0
200	164	2015	7.5e-09	1.4e-05	-0.936231509
200	164	2015	1e-08	0	-0.88876125
200	164	2015	1e-08	1e-07	-0.765883253
200	164	2015	1e-08	2.5e-07	-0.203917075
200	164	2015	1e-08	5e-07	-0.074410235
200	164	2015	1e-08	1e-06	0
200	164	2015	1e-08	2e-06	-0.941997756
200	164	2015	1e-08	4e-06	-0.904125059
200	164	2015	1e-08	6e-06	-0.777858243
200	164	2015	1e-08	1e-05	-0.221968259
200	164	2015	1e-08	1.4e-05	-0.08054361
201	164	2015	0	0	0
201	164	2015	0	1e-07	0
201	164	2015	0	2.5e-07	0
201	164	2015	0	5e-07	0
201	164	2015	0	1e-06	0
201	164	2015	0	2e-06	0
201	164	2015	0	4e-06	0
201	164	2015	0	6e-06	0.011569159
201	164	2015	0	1e-05	0.0448629039999999
201	164	2015	0	1.4e-05	0.04182722
201	164	2015	1e-09	0	-0.248724573
201	164	2015	1e-09	1e-07	-0.43393989
201	164	2015	1e-09	2.5e-07	0
201	164	2015	1e-09	5e-07	0.0737827990000001
201	164	2015	1e-09	1e-06	-0.03408091
201	164	2015	1e-09	2e-06	0.017807219
201	164	2015	1e-09	4e-06	-0.28399851
201	164	2015	1e-09	6e-06	-0.455646136
201	164	2015	1e-09	1e-05	0
