name	drugA	drugB	concA	concB	zip
198	164	2015	1e-08	2e-06	-0.496151630233779
198	164	2015	1e-08	4e-06	-0.489351385480751
198	164	2015	1e-08	6e-06	-0.274006361954099
198	164	2015	1e-08	1e-05	-0.0536445850826175
198	164	2015	1e-08	1.4e-05	-0.0138538847635131
94	164	2015	0	0	0
94	164	2015	0	1e-07	0
94	164	2015	0	2.5e-07	0
94	164	2015	0	5e-07	0
94	164	2015	0	1e-06	0
94	164	2015	0	2e-06	0
94	164	2015	0	4e-06	0
94	164	2015	0	6e-06	1.4210854715202e-16
94	164	2015	0	1e-05	1.4210854715202e-16
94	164	2015	0	1.4e-05	1.4210854715202e-16
94	164	2015	1e-09	0	1.4210854715202e-16
94	164	2015	1e-09	1e-07	1.4210854715202e-16
94	164	2015	1e-09	2.5e-07	0
94	164	2015	1e-09	5e-07	-2.69356776669838e-06
94	164	2015	1e-09	1e-06	-1.17297516477777e-05
94	164	2015	1e-09	2e-06	-0.000103653508391659
94	164	2015	1e-09	4e-06	-0.000292670466934482
94	164	2015	1e-09	6e-06	-0.000344431445882663
94	164	2015	1e-09	1e-05	0
94	164	2015	1e-09	1.4e-05	-2.7808687987374e-06
94	164	2015	2.5e-09	0	-1.7971596516162e-05
94	164	2015	2.5e-09	1e-07	-0.000333735321161015
94	164	2015	2.5e-09	2.5e-07	-0.00146497555846707
94	164	2015	2.5e-09	5e-07	-0.0017214166099761
94	164	2015	2.5e-09	1e-06	0
94	164	2015	2.5e-09	2e-06	-7.12320741753558e-05
94	164	2015	2.5e-09	4e-06	-0.000437474284403692
94	164	2015	2.5e-09	6e-06	-0.00464541427254957
94	164	2015	2.5e-09	1e-05	-0.00820340853484368
94	164	2015	2.5e-09	1.4e-05	-0.0084968578086982
94	164	2015	5e-09	0	0
94	164	2015	5e-09	1e-07	-0.0396389160814275
94	164	2015	5e-09	2.5e-07	-0.0396389160814275
94	164	2015	5e-09	5e-07	-0.0396389160814275
94	164	2015	5e-09	1e-06	-0.0396389160814275
94	164	2015	5e-09	2e-06	-0.0396389160814275
94	164	2015	5e-09	4e-06	0
94	164	2015	5e-09	6e-06	-0.14988981144887
94	164	2015	5e-09	1e-05	-0.14988981144887
94	164	2015	5e-09	1.4e-05	-0.14988981144887
94	164	2015	7.5e-09	0	-0.14988981144887
94	164	2015	7.5e-09	1e-07	-0.14988981144887
94	164	2015	7.5e-09	2.5e-07	0
94	164	2015	7.5e-09	5e-07	-0.261223194828384
94	164	2015	7.5e-09	1e-06	-0.261223194828384
94	164	2015	7.5e-09	2e-06	-0.261223194828384
94	164	2015	7.5e-09	4e-06	-0.261223194828384
94	164	2015	7.5e-09	6e-06	-0.261223194828384
94	164	2015	7.5e-09	1e-05	0
94	164	2015	7.5e-09	1.4e-05	-0.390527917960645
94	164	2015	1e-08	0	-0.390527917960645
94	164	2015	1e-08	1e-07	-0.390527917960645
94	164	2015	1e-08	2.5e-07	-0.390527917960645
94	164	2015	1e-08	5e-07	-0.390527917960645
94	164	2015	1e-08	1e-06	0
94	164	2015	1e-08	2e-06	-0.442993147813449
94	164	2015	1e-08	4e-06	-0.442993147813449
94	164	2015	1e-08	6e-06	-0.442993147813449
94	164	2015	1e-08	1e-05	-0.442993147813449
94	164	2015	1e-08	1.4e-05	-0.442993147813449
199	164	2015	0	0	0
199	164	2015	0	1e-07	0
199	164	2015	0	2.5e-07	0
199	164	2015	0	5e-07	0
199	164	2015	0	1e-06	0
199	164	2015	0	2e-06	0
199	164	2015	0	4e-06	0
199	164	2015	0	6e-06	-9.79454883008657e-05
199	164	2015	0	1e-05	-0.000757831570774812
199	164	2015	0	1.4e-05	-0.101508822880516
199	164	2015	1e-09	0	-0.42323912300459
199	164	2015	1e-09	1e-07	-0.489899691356845
199	164	2015	1e-09	2.5e-07	0
199	164	2015	1e-09	5e-07	-0.00098525297099286
199	164	2015	1e-09	1e-06	-0.0016427960480847
199	164	2015	1e-09	2e-06	-0.102036058772311
199	164	2015	1e-09	4e-06	-0.422624016536429
199	164	2015	1e-09	6e-06	-0.48904789847482
199	164	2015	1e-09	1e-05	0
199	164	2015	1e-09	1.4e-05	-0.00562563729932435
199	164	2015	2.5e-09	0	-0.00627092707565168
199	164	2015	2.5e-09	1e-07	-0.104793363559369
199	164	2015	2.5e-09	2.5e-07	-0.419407171788933
199	164	2015	2.5e-09	5e-07	-0.484593246149856
199	164	2015	2.5e-09	1e-06	0
199	164	2015	2.5e-09	2e-06	-0.0307863381791219
199	164	2015	2.5e-09	4e-06	-0.031365189140577
199	164	2015	2.5e-09	6e-06	-0.119743789229509
199	164	2015	2.5e-09	1e-05	-0.401965067268768
199	164	2015	2.5e-09	1.4e-05	-0.460439605687878
199	164	2015	5e-09	0	0
199	164	2015	5e-09	1e-07	-0.13724699865607
199	164	2015	5e-09	2.5e-07	-0.137544731847938
199	164	2015	5e-09	5e-07	-0.183002447994956
199	164	2015	5e-09	1e-06	-0.328163547343079
199	164	2015	5e-09	2e-06	-0.358240047385046
199	164	2015	5e-09	4e-06	0
199	164	2015	5e-09	6e-06	-0.34285283632467
199	164	2015	5e-09	1e-05	-0.342607651087883
199	164	2015	5e-09	1.4e-05	-0.30517292361471
199	164	2015	7.5e-09	0	-0.185631805969721
199	164	2015	7.5e-09	1e-07	-0.160863610867781
199	164	2015	7.5e-09	2.5e-07	0
199	164	2015	7.5e-09	5e-07	-0.429378536603781
199	164	2015	7.5e-09	1e-06	-0.428904873431901
199	164	2015	7.5e-09	2e-06	-0.356586278781549
199	164	2015	7.5e-09	4e-06	-0.125649760351886
199	164	2015	7.5e-09	6e-06	-0.0778011133146764
199	164	2015	7.5e-09	1e-05	0
199	164	2015	7.5e-09	1.4e-05	-0.478367758311618
199	164	2015	1e-08	0	-0.477764735236477
199	164	2015	1e-08	1e-07	-0.385695552059747
199	164	2015	1e-08	2.5e-07	-0.091689055939407
199	164	2015	1e-08	5e-07	-0.0307726917577344
199	164	2015	1e-08	1e-06	0
199	164	2015	1e-08	2e-06	-0.490523480606047
199	164	2015	1e-08	4e-06	-0.489888359387575
199	164	2015	1e-08	6e-06	-0.392918451910508
199	164	2015	1e-08	1e-05	-0.0832623678359857
199	164	2015	1e-08	1.4e-05	-0.0191035038739005
200	164	2015	0	0	0
200	164	2015	0	1e-07	0
200	164	2015	0	2.5e-07	0
200	164	2015	0	5e-07	0
200	164	2015	0	1e-06	0
200	164	2015	0	2e-06	0
200	164	2015	0	4e-06	0
200	164	2015	0	6e-06	-2.36004537241286e-05
200	164	2015	0	1e-05	-0.00265017082232575
200	164	2015	0	1.4e-05	-0.10085243577036
200	164	2015	1e-09	0	-0.35374484313761
200	164	2015	1e-09	1e-07	-0.461571846716664
200	164	2015	1e-09	2.5e-07	0
200	164	2015	1e-09	5e-07	-0.000175948248447924
200	164	2015	1e-09	1e-06	-0.00280091785712173
200	164	2015	1e-09	2e-06	-0.100943333561272
200	164	2015	1e-09	4e-06	-0.353681615976587
200	164	2015	1e-09	6e-06	-0.461442904527195
200	164	2015	1e-09	1e-05	0
200	164	2015	1e-09	1.4e-05	-0.00163150326262354
200	164	2015	2.5e-09	0	-0.00424117895684375
200	164	2015	2.5e-09	1e-07	-0.101811785484576
200	164	2015	2.5e-09	2.5e-07	-0.353077533643623
200	164	2015	2.5e-09	5e-07	-0.460210970380989
200	164	2015	2.5e-09	1e-06	0
200	164	2015	2.5e-09	2e-06	-0.0159207487410359
200	164	2015	2.5e-09	4e-06	-0.0183802834266191
200	164	2015	2.5e-09	6e-06	-0.110337414950609
200	164	2015	2.5e-09	1e-05	-0.347147231689505
200	164	2015	2.5e-09	1.4e-05	-0.448117020473946
200	164	2015	5e-09	0	0
200	164	2015	5e-09	1e-07	-0.124927059643564
200	164	2015	5e-09	2.5e-07	-0.12624123522034
200	164	2015	5e-09	5e-07	-0.175375657705846
200	164	2015	5e-09	1e-06	-0.301907590482901
200	164	2015	5e-09	2e-06	-0.355857645015787
200	164	2015	5e-09	4e-06	0
200	164	2015	5e-09	6e-06	-0.385728157606988
200	164	2015	5e-09	1e-05	-0.384302024749637
200	164	2015	5e-09	1.4e-05	-0.330981741241183
200	164	2015	7.5e-09	0	-0.1936702966926
200	164	2015	7.5e-09	1e-07	-0.135124127683722
200	164	2015	7.5e-09	2.5e-07	0
200	164	2015	7.5e-09	5e-07	-0.464488525211517
200	164	2015	7.5e-09	1e-06	-0.462234835640229
200	164	2015	7.5e-09	2e-06	-0.37797384532528
200	164	2015	7.5e-09	4e-06	-0.160983283048819
200	164	2015	7.5e-09	6e-06	-0.0684639291513053
200	164	2015	7.5e-09	1e-05	0
