name	drugA	drugB	concA	concB	experiments
47	2008	131	100	10	0.9230820557
47	2008	131	100	30	0.7944381839
47	2008	131	300	0	0.8555128851
47	2008	131	300	0.03	0.8457266985
47	2008	131	300	0.1	0.8841152398
47	2008	131	300	0.3	0.8768645651
47	2008	131	300	1	0.8060481599
47	2008	131	300	3	0.8191705465
47	2008	131	300	10	0.7988419679
47	2008	131	300	30	0.750266896
47	2008	131	1000	0	0.75733964
47	2008	131	1000	0.03	0.8280225972
47	2008	131	1000	0.1	0.8074271226
47	2008	131	1000	0.3	0.7737092613
47	2008	131	1000	1	0.7933705999
47	2008	131	1000	3	0.8189481332
47	2008	131	1000	10	0.7854526853
47	2008	131	1000	30	0.750266896
47	128	131	0	0	1.130371282
47	128	131	0	0.03	1.117604757
47	128	131	0	0.1	1.100256517
47	128	131	0	0.3	1.03842561
47	128	131	0	1	0.9674757569
47	128	131	0	3	0.9655630023
47	128	131	0	10	0.9943877702
47	128	131	0	30	0.7967067999
47	128	131	1	0	1.170939474
47	128	131	1	0.03	1.104126509
47	128	131	1	0.1	1.146162629
47	128	131	1	0.3	1.117471309
47	128	131	1	1	1.018319445
47	128	131	1	3	1.015694968
47	128	131	1	10	0.9420316717
47	128	131	1	30	0.923704813
47	128	131	3	0	1.16586845
47	128	131	3	0.03	1.115291658
47	128	131	3	0.1	1.002928442
47	128	131	3	0.3	1.039537677
47	128	131	3	1	1.041450431
47	128	131	3	3	0.9590240503
47	128	131	3	10	0.945590285
47	128	131	3	30	0.8383425758
47	128	131	10	0	1.077570357
47	128	131	10	0.03	1.065204175
47	128	131	10	0.1	1.092205154
47	128	131	10	0.3	1.053238338
47	128	131	10	1	0.9978129356
47	128	131	10	3	0.9904732956
47	128	131	10	10	1.018986685
47	128	131	10	30	0.8495077252
47	128	131	30	0	1.064136591
47	128	131	30	0.03	1.107329261
47	128	131	30	0.1	1.134285757
47	128	131	30	0.3	1.007866018
47	128	131	30	1	1.008800154
47	128	131	30	3	0.919567925
47	128	131	30	10	0.9823774503
47	128	131	30	30	0.8783769758
47	128	131	100	0	1.084198274
47	128	131	100	0.03	1.040783191
47	128	131	100	0.1	1.046610421
47	128	131	100	0.3	1.131305418
47	128	131	100	1	1.108841671
47	128	131	100	3	1.08446517
47	128	131	100	10	0.9678316183
47	128	131	100	30	0.923704813
47	128	131	300	0	1.038069749
47	128	131	300	0.03	1.059243498
47	128	131	300	0.1	1.083664482
47	128	131	300	0.3	1.003373269
47	128	131	300	1	1.01106877
47	128	131	300	3	1.039137333
47	128	131	300	10	1.019609442
47	128	131	300	30	0.8543563358
47	128	131	1000	0	1.04176181
47	128	131	1000	0.03	1.071832093
47	128	131	1000	0.1	1.010801874
47	128	131	1000	0.3	1.059421429
47	128	131	1000	1	1.004351888
47	128	131	1000	3	0.9925639809
47	128	131	1000	10	0.964806797
47	128	131	1000	30	0.8543563358
47	1546	131	0	0	0.9249373172
47	1546	131	0	0.03	1.023886634
47	1546	131	0	0.1	0.9174153782
47	1546	131	0	0.3	0.8792684019
47	1546	131	0	1	0.8585830697
47	1546	131	0	3	0.9346979285
47	1546	131	0	10	0.8452853561
47	1546	131	0	30	0.811570951
47	1546	131	1	0	1.079763895
47	1546	131	1	0.03	1.08710674
47	1546	131	1	0.1	1.056123515
47	1546	131	1	0.3	1.011663483
47	1546	131	1	1	1.010544147
47	1546	131	1	3	1.010544147
47	1546	131	1	10	0.9509059161
47	1546	131	1	30	0.8679854934
47	1546	131	3	0	1.123865739
47	1546	131	3	0.03	1.164878216
47	1546	131	3	0.1	1.128477404
47	1546	131	3	0.3	1.06463047
47	1546	131	3	1	1.073898573
47	1546	131	3	3	0.9983209958
47	1546	131	3	10	0.9524282132
47	1546	131	3	30	0.915893081
47	1546	131	10	0	1.190981135
47	1546	131	10	0.03	1.16492299
47	1546	131	10	0.1	1.251649155
47	1546	131	10	0.3	1.184399439
47	1546	131	10	1	1.101120829
47	1546	131	10	3	1.10971733
47	1546	131	10	10	1.004186317
47	1546	131	10	30	0.8156901081
47	1546	131	30	0	1.131835413
47	1546	131	30	0.03	1.273095636
47	1546	131	30	0.1	1.130402663
47	1546	131	30	0.3	1.120776372
47	1546	131	30	1	1.157177183
47	1546	131	30	3	0.9914706585
47	1546	131	30	10	0.8880439974
47	1546	131	30	30	0.7545743538
47	1546	131	100	0	1.079137066
47	1546	131	100	0.03	1.170922631
47	1546	131	100	0.1	1.122791177
47	1546	131	100	0.3	1.045109247
47	1546	131	100	1	1.026214853
47	1546	131	100	3	0.9844412274
47	1546	131	100	10	0.7758417408
47	1546	131	100	30	0.7489328995
47	1546	131	300	0	0.9575771596
47	1546	131	300	0.03	0.9503686347
47	1546	131	300	0.1	0.8936854516
47	1546	131	300	0.3	0.9231016059
47	1546	131	300	1	0.7804086323
47	1546	131	300	3	0.7560518775
47	1546	131	300	10	0.8080786222
47	1546	131	300	30	0.7714091696
47	1546	131	1000	0	0.6159557638
47	1546	131	1000	0.03	0.6767133305
47	1546	131	1000	0.1	0.7636633634
47	1546	131	1000	0.3	0.6742955644
47	1546	131	1000	1	0.5668840666
47	1546	131	1000	3	0.5914646887
47	1546	131	1000	10	0.578256522
47	1546	131	1000	30	0.578256522
47	123	131	0	0	0.9824711957
47	123	131	0	0.03	0.9849785087
47	123	131	0	0.1	0.9053265477
47	123	131	0	0.3	0.9864560325
47	123	131	0	1	0.9177735658
47	123	131	0	3	0.9222509104
47	123	131	0	10	0.8610456092
47	123	131	0	30	0.8456883171
47	123	131	1	0	1.013141007
47	123	131	1	0.03	1.084241239
47	123	131	1	0.1	0.9585621754
47	123	131	1	0.3	0.9299967166
47	123	131	1	1	0.9112366426
47	123	131	1	3	0.9516670647
47	123	131	1	10	0.8383454719
47	123	131	1	30	0.8258984538
47	123	131	3	0	1.068257119
47	123	131	3	0.03	1.044392872
47	123	131	3	0.1	1.039243926
47	123	131	3	0.3	1.048691123
47	123	131	3	1	1.042646708
47	123	131	3	3	0.9869485404
47	123	131	3	10	0.905460868
47	123	131	3	30	0.8759103934
47	123	131	10	0	1.058093547
47	123	131	10	0.03	1.090957256
47	123	131	10	0.1	1.050526834
47	123	131	10	0.3	1.028811713
47	123	131	10	1	1.015513999
47	123	131	10	3	0.9919183929
47	123	131	10	10	0.9924556743
47	123	131	10	30	0.8510611307
47	123	131	30	0	1.05554146
47	123	131	30	0.03	1.081375739
47	123	131	30	0.1	1.084151692
47	123	131	30	0.3	1.019140648
47	123	131	30	1	0.9574428392
47	123	131	30	3	0.9539952839
47	123	131	30	10	0.9359963584
47	123	131	30	30	0.8846412154
47	123	131	100	0	1.063600681
47	123	131	100	0.03	1.109403916
47	123	131	100	0.1	1.08321145
47	123	131	100	0.3	1.080345949
47	123	131	100	1	1.033423378
47	123	131	100	3	0.9923213539
47	123	131	100	10	0.9987239568
47	123	131	100	30	0.8700002985
47	123	131	300	0	1.060018805
47	123	131	300	0.03	1.124447794
47	123	131	300	0.1	1.085584443
47	123	131	300	0.3	1.097583726
47	123	131	300	1	1.03163244
47	123	131	300	3	0.9942913856
47	123	131	300	10	0.9514431974
47	123	131	300	30	0.8331517521
47	123	131	1000	0	1.043273536
47	123	131	1000	0.03	1.08697242
47	123	131	1000	0.1	1.070361471
47	123	131	1000	0.3	1.016946749
47	123	131	1000	1	1.013006686
47	123	131	1000	3	1.019901797
47	123	131	1000	10	1.022722524
47	123	131	1000	30	0.8331517521
47	163	131	0	0	0.8907751776
47	163	131	0	0.03	0.9291907946
47	163	131	0	0.1	0.9094457047
47	163	131	0	0.3	0.9022371799
47	163	131	0	1	0.872059877
47	163	131	0	3	0.8335547132
47	163	131	0	10	0.8058847233
47	163	131	0	30	0.7891842278
47	163	131	1	0	0.9888737986
47	163	131	1	0.03	1.018155632
47	163	131	1	0.1	1.000828309
47	163	131	1	0.3	1.054825085
47	163	131	1	1	0.984799415
47	163	131	1	3	0.9370709211
47	163	131	1	10	0.8291669154
47	163	131	1	30	0.7537236583
47	163	131	3	0	1.001723778
47	163	131	3	0.03	0.9977837144
47	163	131	3	0.1	1.001007403
47	163	131	3	0.3	0.9717703421
47	163	131	3	1	0.9870828607
47	163	131	3	3	0.9383693511
47	163	131	3	10	0.9116843771
47	163	131	3	30	0.8573741866
47	163	131	10	0	1.065346845
47	163	131	10	0.03	1.056213062
47	163	131	10	0.1	1.075062683
47	163	131	10	0.3	1.044348099
47	163	131	10	1	1.015961734
47	163	131	10	3	0.9325040296
47	163	131	10	10	0.906759298
47	163	131	10	30	0.8176601397
47	163	131	30	0	1.073585159
47	163	131	30	0.03	1.009603904
47	163	131	30	0.1	1.027199869
47	163	131	30	0.3	0.9701137246
47	163	131	30	1	0.9161617217
47	163	131	30	3	0.8753283386
47	163	131	30	10	0.9057742821
47	163	131	30	30	0.7839457346
47	163	131	100	0	1.063018626
47	163	131	100	0.03	1.009693451
47	163	131	100	0.1	0.9979180347
47	163	131	100	0.3	0.9880678765
47	163	131	100	1	0.9917392991
47	163	131	100	3	0.9864560325
47	163	131	100	10	0.936757507
47	163	131	100	30	0.8190033431
47	163	131	300	0	1.110120291
47	163	131	300	0.03	1.109851651
47	163	131	300	0.1	1.15959495
47	163	131	300	0.3	1.112941018
47	163	131	300	1	1.002171512
47	163	131	300	3	1.001723778
47	163	131	300	10	1.027020775
47	163	131	300	30	0.852493881
47	163	131	1000	0	1.041482598
47	163	131	1000	0.03	1.019095875
47	163	131	1000	0.1	1.015693093
47	163	131	1000	0.3	1.039064832
47	163	131	1000	1	0.9620992777
47	163	131	1000	3	0.9803220703
47	163	131	1000	10	0.8923422482
47	163	131	1000	30	0.852493881
47	2014	131	0	0	0.9998432929
47	2014	131	0	0.03	1.028229658
47	2014	131	0	0.1	1.012155991
47	2014	131	0	0.3	1.009872545
47	2014	131	0	1	0.9739642409
47	2014	131	0	3	0.9853814698
47	2014	131	0	10	0.9377425228
47	2014	131	0	30	0.8436287386
47	2014	131	1	0	0.9813518596
47	2014	131	1	0.03	1.079540027
47	2014	131	1	0.1	0.9962166438
47	2014	131	1	0.3	1.078465465
47	2014	131	1	1	1.102464032
47	2014	131	1	3	1.059615844
47	2014	131	1	10	0.9578458003
47	2014	131	1	30	0.8848650827
47	2014	131	3	0	0.9815757268
47	2014	131	3	0.03	1.089211092
47	2014	131	3	0.1	1.039825981
47	2014	131	3	0.3	1.043318309
47	2014	131	3	1	1.042198973
47	2014	131	3	3	0.9912467912
47	2014	131	3	10	0.9231911528
47	2014	131	3	30	0.8914020059
47	2014	131	10	0	0.9527416274
47	2014	131	10	0.03	0.9687257477
47	2014	131	10	0.1	1.043900364
47	2014	131	10	0.3	0.9819786878
47	2014	131	10	1	0.9773222494
47	2014	131	10	3	0.960129246
47	2014	131	10	10	0.8927452092
47	2014	131	10	30	0.81779446
47	2014	131	30	0	0.9415930392
47	2014	131	30	0.03	0.9734269596
47	2014	131	30	0.1	0.9779938511
47	2014	131	30	0.3	0.9599501522
47	2014	131	30	1	1.007141365
47	2014	131	30	3	0.9225195511
47	2014	131	30	10	0.8763581279
47	2014	131	30	30	0.8107202555
47	2014	131	100	0	0.9575771596
47	2014	131	100	0.03	1.017125843
47	2014	131	100	0.1	0.9136544087
47	2014	131	100	0.3	0.9745462957
47	2014	131	100	1	0.9361754522
47	2014	131	100	3	0.8151080533
47	2014	131	100	10	0.7686779894
47	2014	131	100	30	0.7353217718
47	2014	131	300	0	0.8512402245
47	2014	131	300	0.03	0.8143469047
47	2014	131	300	0.1	0.8425989493
47	2014	131	300	0.3	0.8571055459
47	2014	131	300	1	0.8070488329
47	2014	131	300	3	0.7227852069
47	2014	131	300	10	0.7206360814
47	2014	131	300	30	0.7299937317
47	2014	131	1000	0	0.7668422781
47	2014	131	1000	0.03	0.7504551967
47	2014	131	1000	0.1	0.7394857023
47	2014	131	1000	0.3	0.7662154498
47	2014	131	1000	1	0.7684988956
47	2014	131	1000	3	0.7603501284
47	2014	131	1000	10	0.7461121724
47	2014	131	1000	30	0.7299937317
47	217	131	0	0	1.128208764
47	217	131	0	0.03	1.120731598
47	217	131	0	0.1	1.101076055
47	217	131	0	0.3	1.042109426
47	217	131	0	1	1.029931049
47	217	131	0	3	1.055810101
47	217	131	0	10	0.949294072
47	217	131	0	30	0.8317190019
47	217	131	1	0	1.048646349
47	217	131	1	0.03	1.044034684
47	217	131	1	0.1	1.183593517
47	217	131	1	0.3	1.066331861
47	217	131	1	1	1.076405886
47	217	131	1	3	1.055899648
47	217	131	1	10	1.021737508
47	217	131	1	30	0.8635529222
47	217	131	3	0	1.083838278
47	217	131	3	0.03	1.106225001
47	217	131	3	0.1	1.101389469
47	217	131	3	0.3	1.0925691
47	217	131	3	1	0.9929034088
47	217	131	3	3	0.9806802579
47	217	131	3	10	1.003335622
47	217	131	3	30	0.8547773267
47	217	131	10	0	1.142894454
47	217	131	10	0.03	1.019722703
47	217	131	10	0.1	1.139670766
47	217	131	10	0.3	1.082136887
47	217	131	10	1	1.044974927
47	217	131	10	3	1.05527282
47	217	131	10	10	1.026035759
47	217	131	10	30	0.9265491612
47	217	131	30	0	1.066510955
47	217	131	30	0.03	1.126955107
47	217	131	30	0.1	1.042019879
